season_name,player_id,player_name,minutes_played,offensive_goals_added,offensive_goals_added_90,player_age,guaranteed_compensation_1,minutes_played_1,share_team_touches_1,attempted_passes_1,completed_passes_1,total_distance_yds_1,total_vertical_distance_yds_1,xcompleted_passes_1,goals_added_above_avg_Dribbling_1,goals_added_above_avg_Fouling_1,goals_added_above_avg_Interrupting_1,goals_added_above_avg_Passing_1,goals_added_above_avg_Receiving_1,goals_added_above_avg_Shooting_1,guaranteed_compensation_2,minutes_played_2,share_team_touches_2,attempted_passes_2,completed_passes_2,total_distance_yds_2,total_vertical_distance_yds_2,xcompleted_passes_2,goals_added_above_avg_Dribbling_2,goals_added_above_avg_Fouling_2,goals_added_above_avg_Interrupting_2,goals_added_above_avg_Passing_2,goals_added_above_avg_Receiving_2,goals_added_above_avg_Shooting_2,guaranteed_compensation_3,minutes_played_3,share_team_touches_3,attempted_passes_3,completed_passes_3,total_distance_yds_3,total_vertical_distance_yds_3,xcompleted_passes_3,goals_added_above_avg_Dribbling_3,goals_added_above_avg_Fouling_3,goals_added_above_avg_Interrupting_3,goals_added_above_avg_Passing_3,goals_added_above_avg_Receiving_3,goals_added_above_avg_Shooting_3,played_two_years_ago,played_three_years_ago,primary_position_AM,primary_position_CB,primary_position_CM,primary_position_DM,primary_position_FB,primary_position_ST,primary_position_W
2014,2lqRRvNxqr,Scott Caldwell,2153.0,-0.7187938119,-0.0300471170789595,22.0,54000.0,2471.0,0.0759419354838709,1029.0,854.0,19317.7428,5544.8457,869.3167,0.0045,0.0313086633,-0.3865,-0.2741,-0.6298,-0.3807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,True,False,False,False
2014,2lqRagL5r0,Khari Stephenson,1174.0,-0.7937,-0.0608458262350936,32.0,81958.3,901.0,0.039115,354.0,292.0,6420.5732,718.9965,290.2289,-0.1102,-0.173,-0.1996,-0.2223,-0.2962,-0.0038999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,False
2014,2vQ1L4XOqr,C.J. Sapong,1006.0,0.1913061881,0.017114867722664,25.0,92000.0,2182.0,0.05286,566.0,360.0,8952.1807,1730.3802,372.6391,-0.8504,-0.0170999999999999,-0.5600999999999999,-0.6553,1.8472,-0.0773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,True
2014,2vQ1L4oGqr,Je-Vaughn Watson,2981.0,-1.262,-0.0381013082858101,30.0,116875.0,1494.0,0.0607208333333333,580.0,446.0,11256.7677,3250.1221,453.2298,0.0790999999999999,-0.0655,-0.4105,-0.1824,-0.1017,-0.0292999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,True
2014,2vQ1L8R4qr,Andrew Jean-Baptiste,787.0,0.0778,0.0088970775095298,21.0,80000.0,2340.0,0.077176923076923,901.0,684.0,25049.5207,12963.6988,711.4152,0.1136,-0.8474,0.3597,-0.363,0.2219,0.0241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,False,False,False
2014,2vQ1LEGLqr,Matt Watson,2201.0,-0.8483,-0.0346874148114493,28.0,79252.0,1379.0,0.0549523809523809,438.0,331.0,8236.9922,2114.0188,344.8738,0.2445,0.4576,-0.188,-0.2048,-0.2699,-0.1424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,False
2014,2vQ1LOpxqr,Mark Bloom,2462.0,-0.5645,-0.0206356620633631,26.0,46500.0,582.0,0.1124,261.0,188.0,6153.9186,3009.0431000000003,188.8809,-0.0034,0.0289,-0.0204,0.2299,-0.0554,-0.0324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,False,False
2014,2vQ1Y30QrA,Juninho,3422.0,0.9162,0.0240964348334307,24.0,290000.0,3195.0,0.1131764705882353,1999.0,1662.0,46156.6959,12649.0907,1616.0047,0.3952,0.2768999999999999,0.5458,1.4006,-0.8944000000000001,-0.1797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,False
2014,2vQ1YBxQrA,Danny Mwanga,237.0,-0.4614,-0.1752151898734177,22.0,171250.0,623.0,0.0315692307692307,170.0,125.0,2546.8392,287.0783,122.2885,0.1032,0.0531999999999999,-0.1146,-0.4157,-0.0471,-0.0273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,True
2014,2vQ1YoKQrA,Justin Morrow,2895.0,-0.2836,-0.0088165803108808,26.0,139562.0,2123.0,0.0846307692307692,1003.0,733.0,21504.3464,9165.7961,738.1682,0.0131999999999999,-0.1620999999999999,-1.3276,0.2702,-0.3308,-0.1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,False,False
